00> [OTA] seq=5445, time= 49.603s, [RX] 0x18DA03F1, 2D D7 C2 04 00 D7 C2 04 <-- CF
00> [OTA] seq=5446, time= 49.606s, [RX] 0x18DA03F1, 2E 00 D7 C2 04 00 D7 C2 <-- CF
00> [OTA] seq=5447, time= 49.609s, [RX] 0x18DA03F1, 2F 04 00 D7 C2 04 00 D7 <-- CF
00> [OTA] seq=5448, time= 49.613s, [RX] 0x18DA03F1, 20 C2 04 00 D7 C2 04 00 <-- CF
00> [OTA] seq=5449, time= 49.637s, [RX] 0x18DA03F1, 21 D7 C2 04 00 D7 C2 04 <-- CF
00> [OTA] seq=5450, time= 49.640s, [RX] 0x18DA03F1, 22 00 D7 C2 04 00 DF F8 <-- CF
00> [OTA] seq=5451, time= 49.643s, [RX] 0x18DA03F1, 23 0C D0 00 F0 82 F8 00 <-- CF
00> [OTA] seq=5452, time= 49.646s, [RX] 0x18DA03F1, 24 48 00 47 91 EB 04 00 <-- CF
00> [OTA] seq=5453, time= 49.649s, [RX] 0x18DA03F1, 25 18 86 FF 1F 10 48 4F <-- CF
00> [OTA] seq=5454, time= 49.649s, [RX] 0x18DA03F1, 26 F0 77 01 01 60 0F 48 <-- CF
00> [OTA] seq=5455, time= 49.651s, [RX] 0x18DA03F1, 27 4F F0 77 01 01 60 0E <-- CF
00> [OTA] seq=5456, time= 49.653s, [RX] 0x18DA03F1, 28 48 4F F4 88 51 01 60 <-- CF
00> [OTA] seq=5457, time= 49.674s, [RX] 0x18DA03F1, 29 0A 48 4F F0 76 01 01 <-- CF
00> [OTA] seq=5458, time= 49.676s, [RX] 0x18DA03F1, 2A 60 09 48 4F F0 76 01 <-- CF
00> [OTA] seq=5459, time= 49.678s, [RX] 0x18DA03F1, 2B 01 60 09 48 80 47 09 <-- CF
00> [OTA] seq=5460, time= 49.680s, [RX] 0x18DA03F1, 2C 48 00 47 FE E7 FE E7 <-- CF
00> [OTA] seq=5461, time= 49.681s, [RX] 0x18DA03F1, 2D FE E7 FE E7 FE E7 FE <-- CF
00> [OTA] seq=5462, time= 49.681s, [RX] 0x18DA03F1, 2E E7 FE E7 FE E7 FE E7 <-- CF
00> [OTA] seq=5463, time= 49.681s, [RX] 0x18DA03F1, 2F FE E7 04 08 05 40 0C <-- CF
00> [OTA] seq=5464, time= 49.683s, [RX] 0x18DA03F1, 20 08 05 40 00 08 05 40 <-- CF
00> [OTA] seq=5465, time= 49.707s, [RX] 0x18DA03F1, 21 DD DF 04 00 81 C2 04 <-- CF
00> [OTA] seq=5466, time= 49.709s, [RX] 0x18DA03F1, 22 00 2D E9 F0 5F 05 46 <-- CF
00> [OTA] seq=5467, time= 49.711s, [RX] 0x18DA03F1, 23 00 20 92 46 9B 46 88 <-- CF
