00> [OTA] seq=1   , [RX] 0x18FF8118, 01 00 00 00 00 00 00 00 <-- Enable
00> [OTA] seq=2   , [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=3   , [RX] 0x18DA03F1, 02 10 02 00 00 00 00 00 <-- Session:PROG
00> [OTA] seq=4   , [TX] 0x18DAF103, 02 50 02 AA AA AA AA AA 
00> [OTA] seq=5   , [RX] 0x18DA03F1, 02 27 01 00 00 00 00 00 <-- ReqSeed
00> [OTA] seq=6   , [TX] 0x18DAF103, 06 67 01 12 34 56 78 AA 
00> [OTA] seq=7   , [RX] 0x18DA03F1, 06 27 02 D0 99 A1 7B 00 <-- SendKey
00> [OTA] seq=8   , [TX] 0x18DAF103, 02 67 02 AA AA AA AA AA 
00> [OTA] seq=9   , [RX] 0x18DA03F1, 10 0D 31 01 FE 00 00 08 <-- FF RoutineControl
00> [OTA] seq=10  , [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=11  , [RX] 0x18DA03F1, 21 00 40 00 00 00 2C 90 <-- CF
00> [OTA] seq=12  , [TX] 0x18DAF103, 07 71 01 FE 00 00 00 00 
00> [OTA] seq=13  , [RX] 0x18DA03F1, 10 0B 34 00 44 08 00 40 <-- FF
00> [OTA] seq=14  , [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=15  , [RX] 0x18DA03F1, 21 00 00 00 2C 90 00 00 <-- CF
00> [FW] >>> OnRequestDownload: addr=0x08004000, size=11408 bytes
00> [FW] State: 0 -> 2
00> [OTA] seq=16  , [TX] 0x18DAF103, 03 74 40 00 AA AA AA AA 
00> [OTA] seq=17  , [RX] 0x18DA03F1, 11 02 36 01 18 86 FF 1F <-- FF TransferData
00> [OTA] seq=18  , [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=19  , [RX] 0x18DA03F1, 21 95 C2 04 00 55 DA 04 <-- CF
00> [OTA] seq=20  , [RX] 0x18DA03F1, 22 00 C5 CE 04 00 4D DA <-- CF
00> [OTA] seq=21  , [RX] 0x18DA03F1, 23 04 00 21 C5 04 00 45 <-- CF
00> [OTA] seq=22  , [RX] 0x18DA03F1, 24 EA 04 00 00 00 00 00 <-- CF
00> [OTA] seq=23  , [RX] 0x18DA03F1, 25 00 00 00 00 00 00 00 <-- CF
00> [OTA] seq=24  , [RX] 0x18DA03F1, 26 00 00 00 00 00 89 DE <-- CF
00> [OTA] seq=25  , [RX] 0x18DA03F1, 27 04 00 4D CB 04 00 00 <-- CF
00> [OTA] seq=26  , [RX] 0x18DA03F1, 28 00 00 00 4D DD 04 00 <-- CF
00> [OTA] seq=27  , [RX] 0x18DA03F1, 29 A9 DE 04 00 CD CE 04 <-- CF
00> [OTA] seq=28  , [RX] 0x18DA03F1, 2A 00 E1 CE 04 00 F5 CE <-- CF
00> [OTA] seq=29  , [RX] 0x18DA03F1, 2B 04 00 09 CF 04 00 1D <-- CF
00> [OTA] seq=30  , [RX] 0x18DA03F1, 2C CF 04 00 31 CF 04 00 <-- CF
00> [OTA] seq=31  , [RX] 0x18DA03F1, 2D 45 CF 04 00 59 CF 04 <-- CF
00> [OTA] seq=32  , [RX] 0x18DA03F1, 2E 00 6D CF 04 00 81 CF <-- CF
00> [OTA] seq=33  , [RX] 0x18DA03F1, 2F 04 00 95 CF 04 00 A9 <-- CF
